"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
11,"Solothurn","Soleure","Soletta",43,57,0,104,42,"42/104","Es sind <b>42 von 104</b> Gemeinden ausgezählt.","Le résultats de <b>42 des 104 communes sont connus.","I risultati di <b>42 dei 104 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",29.2,70.8,0,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",38.9,61.1,0,86,25,"25/86","Es sind <b>25 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>25 des 86 communes sont connus.","I risultati di <b>25 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",45.1,54.9,0,75,21,"21/75","Es sind <b>21 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>21 des 75 communes sont connus.","I risultati di <b>21 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",36.7,63.3,0,100,95,"95/100","Es sind <b>95 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>95 des 100 communes sont connus.","I risultati di <b>95 dei 100 comuni sono noti."
19,"Aargau","Argovie","Argovia",44.3,55.7,0,196,165,"165/196","Es sind <b>165 von 196</b> Gemeinden ausgezählt.","Le résultats de <b>165 des 196 communes sont connus.","I risultati di <b>165 dei 196 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",0,0,50,80,0,"0/80","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
21,"Tessin","Tessin","Ticino",49.8,50.2,0,100,10,"10/100","Es sind <b>10 von 100</b> Gemeinden ausgezählt.","Le résultats de <b>10 des 100 communes sont connus.","I risultati di <b>10 dei 100 comuni sono noti."
22,"Waadt","Vaud","Vaud",0,0,50,300,0,"0/300","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
23,"Wallis","Valais","Vallese",43.7,56.3,0,122,92,"92/122","Es sind <b>92 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>92 des 122 communes sont connus.","I risultati di <b>92 dei 122 comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",35.2,64.8,0,24,11,"11/24","Es sind <b>11 von 24</b> Gemeinden ausgezählt.","Le résultats de <b>11 des 24 communes sont connus.","I risultati di <b>11 dei 24 comuni sono noti."
25,"Genf","Genève","Ginevra",36.2,63.8,0,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",0,0,50,51,0,"0/51","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
